fileName,metadata,oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
зміст-Table 1,"Обсяг виробництва, урожайність та зібрана площа сільськогосподарських культур за їх видами 
на 01 грудня 2021 року
The volume of production, yield and the area of agricultural crops collected by their species as of 01 December, 2021,,,,,,,,,,,,,,,,,,,,,,,Зміст ,,Contents,,,,,,,,,,,,,,,,,,,,","Стор./
Page",0,0,0,0,0,0,0,0,0,
зміст-Table 1,"Обсяг виробництва, урожайність та зібрана площа сільськогосподарських культур за їх видами 
на 01 грудня 2021 року
The volume of production, yield and the area of agricultural crops collected by their species as of 01 December, 2021,,,,,,,,,,,,,,,,,,,,,,,Зміст ,,Contents,,,,,,,,,,,,,,,,,,,,",1,NaN,0,0,0,0,0,0,0,0,
зміст-Table 1,"Обсяг виробництва, урожайність та зібрана площа сільськогосподарських культур за їх видами 
на 01 грудня 2021 року
The volume of production, yield and the area of agricultural crops collected by their species as of 01 December, 2021,,,,,,,,,,,,,,,,,,,,,,,Зміст ,,Contents,,,,,,,,,,,,,,,,,,,,",4,NaN,0,0,0,0,0,0,0,0,
зміст-Table 1,"Обсяг виробництва, урожайність та зібрана площа сільськогосподарських культур за їх видами 
на 01 грудня 2021 року
The volume of production, yield and the area of agricultural crops collected by their species as of 01 December, 2021,,,,,,,,,,,,,,,,,,,,,,,Зміст ,,Contents,,,,,,,,,,,,,,,,,,,,",5,NaN,0,0,0,0,0,0,0,0,
зміст-Table 1,"Обсяг виробництва, урожайність та зібрана площа сільськогосподарських культур за їх видами 
на 01 грудня 2021 року
The volume of production, yield and the area of agricultural crops collected by their species as of 01 December, 2021,,,,,,,,,,,,,,,,,,,,,,,Зміст ,,Contents,,,,,,,,,,,,,,,,,,,,",6,NaN,0,0,0,0,0,0,0,0,
зміст-Table 1,"Обсяг виробництва, урожайність та зібрана площа сільськогосподарських культур за їх видами 
на 01 грудня 2021 року
The volume of production, yield and the area of agricultural crops collected by their species as of 01 December, 2021,,,,,,,,,,,,,,,,,,,,,,,Зміст ,,Contents,,,,,,,,,,,,,,,,,,,,",7,NaN,0,0,0,0,0,0,0,0,
зміст-Table 1,"Обсяг виробництва, урожайність та зібрана площа сільськогосподарських культур за їх видами 
на 01 грудня 2021 року
The volume of production, yield and the area of agricultural crops collected by their species as of 01 December, 2021,,,,,,,,,,,,,,,,,,,,,,,Зміст ,,Contents,,,,,,,,,,,,,,,,,,,,",8,NaN,0,0,0,0,0,0,0,0,
зміст-Table 1,"Обсяг виробництва, урожайність та зібрана площа сільськогосподарських культур за їх видами 
на 01 грудня 2021 року
The volume of production, yield and the area of agricultural crops collected by their species as of 01 December, 2021,,,,,,,,,,,,,,,,,,,,,,,Зміст ,,Contents,,,,,,,,,,,,,,,,,,,,",9,NaN,0,0,0,0,0,0,0,0,
зміст-Table 1,"Обсяг виробництва, урожайність та зібрана площа сільськогосподарських культур за їх видами 
на 01 грудня 2021 року
The volume of production, yield and the area of agricultural crops collected by their species as of 01 December, 2021,,,,,,,,,,,,,,,,,,,,,,,Зміст ,,Contents,,,,,,,,,,,,,,,,,,,,",10,NaN,0,0,0,0,0,0,0,0,
зміст-Table 1,"Обсяг виробництва, урожайність та зібрана площа сільськогосподарських культур за їх видами 
на 01 грудня 2021 року
The volume of production, yield and the area of agricultural crops collected by their species as of 01 December, 2021,,,,,,,,,,,,,,,,,,,,,,,Зміст ,,Contents,,,,,,,,,,,,,,,,,,,,",11,NaN,0,0,0,0,0,0,0,0,
зміст-Table 1,"Обсяг виробництва, урожайність та зібрана площа сільськогосподарських культур за їх видами 
на 01 грудня 2021 року
The volume of production, yield and the area of agricultural crops collected by their species as of 01 December, 2021,,,,,,,,,,,,,,,,,,,,,,,Зміст ,,Contents,,,,,,,,,,,,,,,,,,,,",12,NaN,0,0,0,0,0,0,0,0,
зміст-Table 1,"Обсяг виробництва, урожайність та зібрана площа сільськогосподарських культур за їх видами 
на 01 грудня 2021 року
The volume of production, yield and the area of agricultural crops collected by their species as of 01 December, 2021,,,,,,,,,,,,,,,,,,,,,,,Зміст ,,Contents,,,,,,,,,,,,,,,,,,,,",13,NaN,0,0,0,0,0,0,0,0,
зміст-Table 1,"Обсяг виробництва, урожайність та зібрана площа сільськогосподарських культур за їх видами 
на 01 грудня 2021 року
The volume of production, yield and the area of agricultural crops collected by their species as of 01 December, 2021,,,,,,,,,,,,,,,,,,,,,,,Зміст ,,Contents,,,,,,,,,,,,,,,,,,,,",14,NaN,0,0,0,0,0,0,0,0,
зміст-Table 1,"Обсяг виробництва, урожайність та зібрана площа сільськогосподарських культур за їх видами 
на 01 грудня 2021 року
The volume of production, yield and the area of agricultural crops collected by their species as of 01 December, 2021,,,,,,,,,,,,,,,,,,,,,,,Зміст ,,Contents,,,,,,,,,,,,,,,,,,,,",15,NaN,0,0,0,0,0,0,0,0,
зміст-Table 1,"Обсяг виробництва, урожайність та зібрана площа сільськогосподарських культур за їх видами 
на 01 грудня 2021 року
The volume of production, yield and the area of agricultural crops collected by their species as of 01 December, 2021,,,,,,,,,,,,,,,,,,,,,,,Зміст ,,Contents,,,,,,,,,,,,,,,,,,,,",16,NaN,0,0,0,0,0,0,0,0,
зміст-Table 1,"Обсяг виробництва, урожайність та зібрана площа сільськогосподарських культур за їх видами 
на 01 грудня 2021 року
The volume of production, yield and the area of agricultural crops collected by their species as of 01 December, 2021,,,,,,,,,,,,,,,,,,,,,,,Зміст ,,Contents,,,,,,,,,,,,,,,,,,,,",17,NaN,0,0,0,0,0,0,0,0,
зміст-Table 1,"Обсяг виробництва, урожайність та зібрана площа сільськогосподарських культур за їх видами 
на 01 грудня 2021 року
The volume of production, yield and the area of agricultural crops collected by their species as of 01 December, 2021,,,,,,,,,,,,,,,,,,,,,,,Зміст ,,Contents,,,,,,,,,,,,,,,,,,,,",18,NaN,0,0,0,0,0,0,0,0,
зміст-Table 1,"Обсяг виробництва, урожайність та зібрана площа сільськогосподарських культур за їх видами 
на 01 грудня 2021 року
The volume of production, yield and the area of agricultural crops collected by their species as of 01 December, 2021,,,,,,,,,,,,,,,,,,,,,,,Зміст ,,Contents,,,,,,,,,,,,,,,,,,,,",19,NaN,0,0,0,0,0,0,0,0,
